state,date,new_results_reported_Inconclusive,new_results_reported_Negative,new_results_reported_Positive,total_results_reported_Inconclusive,total_results_reported_Negative,total_results_reported_Positive,inpatient_beds_used_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_covid,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_suspected,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_suspected,inpatient_beds_used_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,previous_day_admission_adult_covid_confirmed_coverage,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death
RI,2020-10-19,2.0,6024.0,279.0,494.0,824339.0,48610.0,132.0,129.0,127.0,3.0,3.0,17.0,16.0,9.0,1.0,0.0,0.0,14.0,14.0,14.0,15.0,28845.0,,,313.0,0.0,1177.0,,,1.0,0.0
RMI,2020-10-19,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SC,2020-10-19,14.0,11840.0,1006.0,4443.0,1445745.0,207258.0,739.0,738.0,612.0,5.0,0.0,190.0,171.0,58.0,60.0,1.0,8.0,79.0,78.0,78.0,81.0,165645.0,157846.0,7799.0,622.0,68.0,3794.0,,,23.0,4.0
SD,2020-10-19,0.0,1723.0,313.0,303.0,259058.0,22999.0,334.0,330.0,309.0,4.0,2.0,64.0,66.0,46.0,10.0,2.0,1.0,62.0,61.0,59.0,65.0,33836.0,,,567.0,2.0,323.0,318.0,5.0,0.0,0.0
TN,2020-10-19,20.0,8373.0,995.0,7639.0,2971894.0,300728.0,1453.0,1435.0,1299.0,18.0,5.0,397.0,397.0,167.0,94.0,1.0,3.0,129.0,128.0,127.0,134.0,232061.0,220566.0,11495.0,3317.0,163.0,2922.0,2789.0,133.0,13.0,0.0
TX,2020-10-19,178.0,44706.0,5689.0,24354.0,7565965.0,1182287.0,5303.0,5226.0,4589.0,77.0,55.0,1501.0,1414.0,676.0,534.0,13.0,42.0,574.0,573.0,574.0,581.0,825673.0,,,1894.0,0.0,18180.0,,,85.0,0.0
UT,2020-10-19,57.0,7890.0,1750.0,4789.0,1472465.0,157286.0,308.0,295.0,293.0,13.0,12.0,96.0,95.0,44.0,4.0,4.0,0.0,57.0,56.0,49.0,58.0,95562.0,95562.0,0.0,1168.0,0.0,546.0,541.0,5.0,3.0,0.0
VA,2020-10-19,16.0,14020.0,1118.0,5525.0,2435500.0,286457.0,977.0,1086.0,780.0,9.0,6.0,233.0,182.0,66.0,120.0,1.0,4.0,102.0,101.0,100.0,106.0,167754.0,157213.0,10541.0,926.0,152.0,3485.0,3236.0,249.0,28.0,1.0
VI,2020-10-19,,2718.0,488.0,,16344.0,2407.0,4.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1335.0,,,0.0,0.0,21.0,,,0.0,0.0
VT,2020-10-19,1.0,1433.0,13.0,139.0,374991.0,3076.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,16.0,16.0,16.0,17.0,1956.0,,,19.0,0.0,58.0,,,0.0,0.0
WA,2020-10-19,0.0,7608.0,261.0,794.0,1725932.0,89880.0,404.0,397.0,289.0,6.0,3.0,88.0,74.0,30.0,82.0,0.0,15.0,95.0,95.0,92.0,99.0,98661.0,,,460.0,0.0,2258.0,,,19.0,0.0
WI,2020-10-19,141.0,22198.0,3615.0,2050.0,3096173.0,238021.0,1517.0,1495.0,1250.0,12.0,1.0,355.0,327.0,300.0,213.0,2.0,4.0,140.0,140.0,138.0,143.0,183142.0,173891.0,9251.0,7915.0,210.0,1617.0,1600.0,17.0,29.0,3.0
WV,2020-10-19,5.0,4220.0,222.0,878.0,757437.0,31711.0,269.0,269.0,221.0,0.0,0.0,73.0,62.0,29.0,26.0,0.0,0.0,59.0,59.0,59.0,63.0,20293.0,19328.0,965.0,212.0,26.0,399.0,,,0.0,0.0
WY,2020-10-19,1.0,1868.0,129.0,184.0,232026.0,8557.0,82.0,82.0,76.0,0.0,0.0,17.0,16.0,29.0,27.0,1.0,1.0,28.0,28.0,28.0,30.0,9311.0,7924.0,1387.0,286.0,35.0,57.0,57.0,0.0,0.0,0.0
AK,2020-10-20,0.0,10741.0,1176.0,416.0,735772.0,24643.0,74.0,73.0,43.0,1.0,1.0,19.0,16.0,11.0,15.0,0.0,0.0,23.0,22.0,21.0,23.0,11458.0,,,232.0,0.0,93.0,,,2.0,0.0
AL,2020-10-20,10.0,14649.0,1425.0,4915.0,1879816.0,230431.0,1015.0,992.0,863.0,23.0,13.0,286.0,269.0,139.0,125.0,0.0,6.0,112.0,112.0,112.0,114.0,185264.0,157647.0,27617.0,1292.0,262.0,4347.0,3735.0,612.0,15.0,4.0
AR,2020-10-20,17.0,8075.0,819.0,1500.0,1133655.0,101211.0,701.0,690.0,597.0,11.0,6.0,217.0,220.0,97.0,161.0,2.0,4.0,96.0,96.0,94.0,98.0,100441.0,,,844.0,216.0,1728.0,,,14.0,0.0
AS,2020-10-20,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,,0.0,0.0
AZ,2020-10-20,21.0,22971.0,1470.0,4088.0,2074450.0,240468.0,957.0,834.0,535.0,123.0,113.0,181.0,167.0,91.0,177.0,0.0,3.0,106.0,106.0,103.0,109.0,232937.0,227670.0,5267.0,1040.0,51.0,5837.0,5550.0,287.0,7.0,1.0
CA,2020-10-20,238.0,80058.0,1416.0,68642.0,14637956.0,925646.0,3084.0,3041.0,2363.0,42.0,19.0,757.0,665.0,366.0,487.0,2.0,9.0,395.0,380.0,378.0,403.0,874077.0,,,3286.0,0.0,16992.0,,,22.0,0.0
CO,2020-10-20,48.0,18421.0,1295.0,2758.0,1525812.0,73479.0,549.0,522.0,393.0,27.0,9.0,166.0,140.0,103.0,94.0,2.0,10.0,97.0,97.0,93.0,99.0,87582.0,81528.0,6054.0,1208.0,216.0,2182.0,1801.0,381.0,2.0,1.0
CT,2020-10-20,27.0,42683.0,733.0,2272.0,1672504.0,78093.0,376.0,368.0,215.0,8.0,4.0,58.0,40.0,24.0,83.0,0.0,4.0,32.0,30.0,30.0,33.0,64455.0,61863.0,2592.0,434.0,12.0,4559.0,3658.0,901.0,5.0,-1.0
DC,2020-10-20,0.0,6167.0,64.0,271.0,506352.0,22158.0,165.0,148.0,113.0,17.0,0.0,32.0,22.0,12.0,70.0,0.0,13.0,13.0,13.0,13.0,14.0,16445.0,,,50.0,0.0,642.0,,,1.0,0.0
DE,2020-10-20,3.0,4166.0,142.0,707.0,556888.0,27986.0,151.0,149.0,125.0,2.0,1.0,22.0,22.0,12.0,22.0,3.0,0.0,13.0,13.0,11.0,14.0,23325.0,22220.0,1105.0,129.0,7.0,668.0,587.0,81.0,2.0,0.0
FL,2020-10-20,131.0,75644.0,4472.0,60960.0,9746587.0,1153602.0,2491.0,2450.0,2230.0,41.0,26.0,605.0,530.0,330.0,362.0,9.0,22.0,264.0,263.0,262.0,270.0,750739.0,,,3556.0,611.0,16105.0,,,84.0,6.0
FSM,2020-10-20,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
